Country Name,2015,2016,2017,2018,2019,2020,2021,GDPPC
Saudi Arabia,20627.92178,19878.76817,20802.46179,24228.83904,23450.56202,20203.66888,23585.88563,23585.88563
Sudan,2184.542236,2583.447266,3178.314209,773.5070801,755.3289795,615.4620972,764.3410034,764.3410034
Senegal,1219.249415,1269.903294,1361.701972,1458.081584,1435.830367,1462.808169,1606.472061,1606.472061
Singapore,55646.61875,56860.41324,61150.7272,66859.33834,65831.18943,60729.45035,72794.00302,72794.00302
Solomon Islands,2167.155394,2225.475204,2332.898555,2411.897904,2344.048976,2250.601164,2336.968134,2336.968134
Sierra Leone,588.2288628,501.4151655,496.6822949,533.9915333,521.7548367,509.376594,515.9320918,515.9320918
El Salvador,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,3798.636521,4408.520365,4408.520365
San Marino,42662.90241,43828.23155,45399.02898,48996.59299,47727.13489,45515.7577,,45515.7577
Somalia,386.437817,389.8220615,384.4634014,389.8313955,419.3948077,438.2551656,445.7790165,445.7790165
Serbia,5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,7730.691746,9214.993546,9214.993546
Sub-Saharan Africa (excluding high income),1691.410566,1536.929331,1621.632341,1605.490023,1617.541932,1500.852648,1644.480362,1644.480362
South Sudan,1119.651437,,,,,,,0
Sub-Saharan Africa,1692.674294,1538.244417,1622.982614,1606.863419,1618.920771,1501.779422,1645.472944,1645.472944
Small states,11746.83968,11348.57057,12064.64049,13015.08585,12615.13255,10787.66873,12394.92591,12394.92591
Sao Tome and Principe,1584.775657,1700.097997,1813.807434,1953.513257,1987.579702,2157.840446,2449.333442,2449.333442
Suriname,9168.237157,5872.789429,6295.560562,6938.086981,6853.693411,4916.605666,4836.332633,4836.332633
Slovak Republic,16342.21626,16512.29299,17538.04858,19389.98216,19303.54566,19266.51357,21087.8461,21087.8461
Slovenia,20890.16643,21678.35947,23514.02546,26116.85636,25942.95477,25489.50023,29200.81988,29200.81988
Sweden,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52300.2062,60238.98656,60238.98656
Eswatini,3680.349473,3425.531957,3914.418484,4107.094431,3889.851226,3434.721798,4214.861688,4214.861688
Sint Maarten (Dutch part),32274.89055,31616.6817,29369.05683,28988.25921,,,,0
Seychelles,15157.50183,15740.11063,16416.72607,16910.66792,17252.02078,12193.88687,13306.7256,13306.7256
Syrian Arab Republic,979.1444387,713.029204,955.836559,1265.60619,,,,0
Turks and Caicos Islands,26183.88504,28241.47929,27545.12879,29553.1367,31350.86663,23879.92665,24047.05471,24047.05471
Chad,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,652.3492096,696.4227755,696.4227755
East Asia & Pacific (IDA & IBRD countries),6583.953456,6674.255578,7238.969962,8042.948352,8268.375718,8361.938147,9884.678914,9884.678914
Europe & Central Asia (IDA & IBRD countries),8019.897882,7677.406606,8562.533645,8876.157251,9026.080646,8406.890911,9782.541967,9782.541967
Togo,570.9099672,803.1518934,830.7452767,901.5230169,893.3524541,914.9507925,992.3284294,992.3284294
